county
Abbeville
Acadia
Accomack
Adair
Adams
Aiken
Alachua
Alamance
Albany
Albemarle
Alcona
Alcorn
Aleutians East
Aleutians West
Alexander
Alexandria City
Alfalfa
Alger
Allamakee
Allegan
Alleghany
Allegheny
Allen
Allendale
Alpena
Amelia
Amherst
Amite
Anchorage
Anderson
Andrew
Andrews
Androscoggin
Angelina
Anson
Antelope
Antrim
Apache
Appanoose
Appling
Appomattox
Aransas
Archer
Arenac
Arkansas
Arlington
Armstrong
Aroostook
Arthur
Ascension
Ashe
Ashland
Ashley
Ashtabula
Assumption
Atascosa
Atchison
Athens
Atkinson
Atlantic
Atoka
Attala
Audrain
Audubon
Auglaize
Augusta
Aurora
Austin
Autauga
Avery
Avoyelles
Bacon
Bailey
Baker
Baldwin
Bamberg
Bandera
Banks
Banner
Baraga
Barber
Barbour
Barnes
Barnwell
Barron
Barrow
Barry
Bartholomew
Barton
Bartow
Bastrop
Bates
Bath
Baxter
Bay
Bayfield
Baylor
Beadle
Beaufort
Beauregard
Beaver
Beaverhead
Beckham
Bedford
Bedford City
Bee
Belknap
Bell
Belmont
Ben Hill
Bennett
Benson
Benton
Benzie
Bergen
Berkeley
Berks
Berrien
Bertie
Bethel
Bexar
Bibb
Bienville
Big Horn
Billings
Black Hawk
Blackford
Bladen
Blaine
Blair
Blanco
Bland
Bleckley
Bledsoe
Blount
Bolivar
Bollinger
Bon Homme
Bond
Boone
Borden
Bosque
Bossier
Botetourt
Bottineau
Bourbon
Bowie
Bowman
Box Butte
Box Elder
Boyd
Bradford
Bradley
Branch
Brantley
Braxton
Brazoria
Brazos
Bremer
Brevard
Brewster
Briscoe
Bristol
Bristol Bay
Broadwater
Brooke
Brookings
Brooks
Broward
Brown
Brule
Brunswick
Bryan
Buchanan
Buckingham
Bucks
Buena Vista
Buena Vista City
Buffalo
Bulloch
Bullock
Buncombe
Bureau
Burke
Burleigh
Burleson
Burlington
Burnet
Burnett
Burt
Butler
Butte
Butts
Cabarrus
Cabell
Cache
Caddo
Calcasieu
Caldwell
Calhoun
Callahan
Callaway
Calumet
Cambria
Camden
Cameron
Camp
Campbell
Canadian
Candler
Cannon
Cape Girardeau
Cape May
Carbon
Caroline
Carroll
Carson
Carter
Carteret
Cascade
Cass
Castro
Caswell
Catahoula
Catawba
Catoosa
Cavalier
Cedar
Centre
Cerro Gordo
Chambers
Champaign
Chariton
Charles City
Charles Mix
Charleston
Charlevoix
Charlotte
Charlottesville City
Charlton
Chase
Chatham
Chattahoochee
Chattooga
Chautauqua
Cheatham
Cheboygan
Cherokee
Cherry
Chesapeake City
Cheshire
Chester
Chesterfield
Cheyenne
Chickasaw
Chicot
Childress
Chilton
Chippewa
Choctaw
Chouteau
Chowan
Christian
Cimarron
Citrus
Claiborne
Clare
Clarendon
Clarion
Clark
Clarke
Clay
Clayton
Clearfield
Cleburne
Clermont
Cleveland
Clinch
Clinton
Cloud
Coahoma
Coal
Cobb
Cochise
Cochran
Cocke
Coconino
Codington
Coffee
Coffey
Coke
Colbert
Cole
Coleman
Coles
Colfax
Colleton
Collier
Collin
Collingsworth
Colonial Heights City
Colorado
Colquitt
Columbia
Columbiana
Columbus
Comal
Comanche
Concho
Concordia
Conecuh
Converse
Conway
Cook
Cooke
Cooper
Coos
Coosa
Copiah
Corson
Coryell
Coshocton
Cottle
Cotton
Covington
Covington City
Coweta
Cowley
Craig
Craighead
Crane
Craven
Crawford
Creek
Crenshaw
Crisp
Crittenden
Crockett
Crook
Crosby
Cross
Culberson
Cullman
Culpeper
Cumberland
Cuming
Currituck
Custer
Cuyahoga
Dade
Daggett
Dakota
Dale
Dallam
Dallas
Dane
Daniels
Danville City
Dare
Darke
Darlington
Dauphin
Davidson
Davie
Daviess
Davis
Davison
Dawes
Dawson
Day
De Kalb
De Soto
De Witt
Deaf Smith
Dearborn
Decatur
Deer Lodge
Defiance
Dekalb
Delaware
Delta
Denali
Dent
Denton
Des Moines
Desha
Desoto
Deuel
Dewey
Dewitt
Dickens
Dickenson
Dickey
Dickinson
Dickson
Dillingham
Dillon
Dimmit
Dinwiddie
Divide
Dixie
Dixon
Doddridge
Dodge
Doniphan
Donley
Dooly
Door
Dorchester
Dougherty
Douglas
Drew
Dubois
Dubuque
Duchesne
Dundy
Dunklin
Dunn
Dupage
Duplin
Durham
Duval
Dyer
Early
East Baton Rouge
East Carroll
East Feliciana
Eastland
Eaton
Eau Claire
Echols
Ector
Eddy
Edgar
Edgecombe
Edgefield
Edmunds
Edwards
Effingham
El Paso
Elbert
Elk
Elkhart
Ellis
Ellsworth
Elmore
Emanuel
Emery
Emmet
Emmons
Emporia City
Erath
Erie
Escambia
Essex
Etowah
Evangeline
Evans
Fairbanks North Star
Fairfax
Fairfax City
Fairfield
Fall River
Fallon
Falls
Falls Church City
Fannin
Faulk
Faulkner
Fauquier
Fayette
Fentress
Fergus
Fillmore
Finney
Fisher
Flagler
Flathead
Florence
Floyd
Fluvanna
Foard
Fond Du Lac
Ford
Forest
Forrest
Forsyth
Fort Bend
Foster
Fountain
Franklin
Franklin City
Frederick
Fredericksburg City
Freestone
Fremont
Frio
Frontier
Fulton
Furnas
Gadsden
Gage
Gaines
Galax City
Gallatin
Gallia
Galveston
Garden
Garfield
Garland
Garvin
Garza
Gasconade
Gaston
Gates
Geary
Geauga
Genesee
Geneva
Gentry
George
Georgetown
Gibson
Gila
Gilchrist
Giles
Gillespie
Gilmer
Glacier
Glades
Gladwin
Glascock
Glasscock
Gloucester
Glynn
Gogebic
Golden Valley
Goliad
Gonzales
Goochland
Gordon
Goshen
Gosper
Gove
Grady
Grafton
Graham
Grainger
Grand
Grand Forks
Grand Traverse
Granite
Grant
Granville
Gratiot
Gray
Grayson
Greeley
Green
Green Lake
Greenbrier
Greene
Greenlee
Greensville
Greenville
Greenwood
Greer
Gregg
Gregory
Grenada
Griggs
Grimes
Grundy
Guadalupe
Guernsey
Guilford
Gulf
Guthrie
Gwinnett
Haakon
Habersham
Haines
Hale
Halifax
Hall
Hamblen
